ID,Code,BName,Address,City,State,PostalCode,Phone,sapStoreCode,sapStoreTypeCode,storeZone,storeLocation,storeCarpetArea,areaGrading,rsmName,rsmEmail,rsmEmployeeCode,asmName,asmEmail,asmEmployeeCode,serverID,GSTIN,businessPhone,landline,removedDetail,merchandiser,merchandiser1,customRegion,StoreCode,storeManager,lic,emailID
1,ST0001,Misra LLC - Chennai,"35/651
Golla Nagar, Howrah-500763",Chennai,Tamil Nadu,872673,+914928851047,SAP0001,RETAIL,East,Street,1414,A,Bhavani Keer,balakrishnanunni@example.com,RSM2679,Mason Swamy,wridesh86@example.com,ASM9935,SRV189,28NBACG4811Q1Z9,+916830991772,01733803632,,Triya Muni,Amrita Sarna,REG9,ST0001,Aarnav Sastry,LIC64987,madhavi01@example.org
2,ST0002,Ganguly-Gole - Ahmedabad,"16/46
Suresh Chowk, Kishanganj 399980",Ahmedabad,Gujarat,106398,+914846059717,SAP0002,FRANCHISE,Central,Shopping Complex,526,A,Ojasvi Prakash,bandichaitanya@example.org,RSM7924,Jairaj Balasubramanian,mohininagi@example.net,ASM6574,SRV384,14GYKDC7224D6Z6,2338946606,07478535388,,Jacob Upadhyay,Vrinda Pillai,REG8,ST0002,Aishani Gala,LIC80284,prasadmaya@example.org
3,ST0003,Subramaniam and Sons - Chennai,"05
Bhavsar Zila
Gandhinagar 546919",Chennai,Tamil Nadu,974084,03731181177,SAP0003,FRANCHISE,North,Shopping Complex,1981,C,Mohammed Dua,biyengar@example.com,RSM4150,Sai Sarraf,dmanda@example.net,ASM2139,SRV146,31HYJCH2654M5Z8,3290364793,9373927406,,Mohammed Kara,Yash Rattan,REG6,ST0003,Anthony Brahmbhatt,LIC56566,echaudhari@example.net
4,ST0004,"Pal, Rao and Balan - Pune","49/159
Sankaran Zila, Tadipatri 898445",Pune,Maharashtra,763607,7112276743,SAP0004,OUTLET,North,Street,2687,A,Oni Salvi,ekarajchawla@example.com,RSM3677,Ubika Bajwa,anshbhagat@example.com,ASM8573,SRV488,18UWRHV6313Y1Z4,7987369389,+918778829102,,Anika Ramachandran,Siddharth Chauhan,REG7,ST0004,Madhav Mander,LIC45093,tamanna41@example.org
5,ST0005,Chandra Ltd - Bangalore,"H.No. 752
Mitra Path, Mahbubnagar-677513",Bangalore,Karnataka,096547,+911176698073,SAP0005,FLAGSHIP,Central,Shopping Complex,1370,B,Harsh Master,udant49@example.net,RSM7482,Dakshesh Andra,hbakshi@example.net,ASM8517,SRV246,18EHXRR5304X7Z7,+919055054400,1639985102,,Indrajit Venkataraman,Wazir Deep,REG3,ST0005,Zarna Trivedi,LIC76784,poojamisra@example.org
6,ST0006,Sami-Tella - Visakhapatnam,"796, Bera, Orai-164256",Visakhapatnam,Andhra Pradesh,383950,03916695600,SAP0006,RETAIL,North,Mall,1126,A,Ekbal Batta,gangakrishnamurthy@example.org,RSM7916,Ekaja Khare,kaursaumya@example.org,ASM2040,SRV494,22TOQIR1188V2Z9,+911415985248,+917983363110,,Timothy Gade,Priya Krishna,REG6,ST0006,Mohini Dara,LIC24621,lipikaratti@example.org
7,ST0007,Mital-Gala - Lucknow,"958
Khatri Zila
Pallavaram 281933",Lucknow,Uttar Pradesh,112279,8843826364,SAP0007,FRANCHISE,South,Standalone,513,B+,Falak Babu,xitigoel@example.net,RSM9201,Indira Babu,mallickgarima@example.net,ASM3927,SRV619,13UJUQT4258E6Z3,+918922597731,+917802014863,,Upkaar Vora,Ekalinga Kapadia,REG9,ST0007,Lakshit Kumar,LIC10074,jai30@example.net
8,ST0008,Thakkar Inc - Kanpur,"H.No. 59
Jain Chowk, Fatehpur 324569",Kanpur,Uttar Pradesh,903461,3687747886,SAP0008,FRANCHISE,North,Mall,1986,B+,Yashasvi Choudhury,thakermadhavi@example.org,RSM4923,William Sekhon,mitterridhi@example.org,ASM1949,SRV346,28CCXPC9727Y3Z3,+918310726616,1124185014,,Chaitanya Kata,Abdul Sengupta,REG3,ST0008,Zilmil Bhargava,LIC44741,morarindrajit@example.net
9,ST0009,"Yohannan, Chacko and Saha - Patna","H.No. 88
Chand Circle
Tadepalligudem-250484",Patna,Bihar,743288,02844242032,SAP0009,FRANCHISE,South,Street,1776,B,Tanveer Pingle,somangabriel@example.net,RSM7118,Xalak Prabhakar,grewalnikita@example.org,ASM8177,SRV629,24DHHCK1344S9Z4,3181228876,0429588891,,Eiravati Mutti,,REG1,ST0009,Ekbal Issac,LIC40007,ishanide@example.com
10,ST0010,Agrawal PLC - Bangalore,"H.No. 24, Ram Nagar
Thrissur-296883",Bangalore,Karnataka,129379,3428024308,SAP0010,RETAIL,East,Mall,2605,A,Girindra Ranganathan,gangachoudhry@example.com,RSM5562,Zayyan Mukhopadhyay,ployal@example.com,ASM8953,SRV319,27EXSSP4981Z8Z7,00050564911,02750590303,,Nidhi Sidhu,,REG7,ST0010,Amara Khanna,LIC56438,wchada@example.com
